,questions,answers,labels,confidence,labels_by_rougeL,max_rouge_score,s1,s2
77,"How come there is sunlight on Earth but right outside of Earth, in space, its pitch black?","The Sun's light is very, very bright, but it's only 6% of the total energy of the light that is emitted by the Sun. The Earth is about 30% of the total energy of the Sun's light. The Earth receives 4.3 watts of light per square meter, while the Sun receives 136 watts per square meter. This means that the Earth receives 30 times more light than the Sun, but it receives only about 1/5 as much energy. So the Earth is brighter than the Sun, but not by much. The Earth is also very, very close to the Sun, so the light it receives is much more intense than the light that reaches the Moon. The Moon is about 384,000 kilometers away from the Sun, while the Earth is only about 384,000 kilometers away from the Sun. So the light that reaches the Moon is much less intense than the light that reaches the Earth.",0,1.0,0,1.0,000 kilometers away from the Sun,000 kilometers away from the Sun
78,How do satellites handle so many simultaneous connections?,"Satellites do not have to deal with multiple connections. It is the terrestrial network that has to deal with multiple connections. The terrestrial network is a complex system of cables, fiber optic cables, and satellites. When you connect to a satellite, you are connecting to the satellite directly. The satellite is a single device, and so you are only dealing with one device. The terrestrial network is a complex system of many devices, each of which can be connected to the satellite. Each device in the terrestrial network can be connected to the satellite, and so you are only dealing with one device in the terrestrial network. The satellite is a single device, and so you are only dealing with one device. The terrestrial network is a complex system of many devices, each of which can be connected to the satellite. Each device in the terrestrial network can be connected to the satellite, and so you are only dealing with one device. The satellite is a single device, and so you are only dealing with one device. The terrestrial network is a complex system of many devices, each of which can be connected to the satellite. Each device in the terrestrial network can be connected to the satellite, and so you are only dealing with one device. The satellite is a single device, and so you are only dealing with one device.",0,1.0,0,1.0,The satellite is a single device,The satellite is a single device
79,Why is liposuction limited to a certain amount? Why can't doctors suck out 100 pounds of fat from a person that needs to lose 100 pounds?,"I'm not sure where you got the idea that it is limited to a certain amount. Liposuction is a procedure that is performed for cosmetic reasons, and is performed in a very controlled manner. The amount of fat that can be removed is not limited, and is not dependent on the size of the person. Liposuction is also performed for medical reasons, such as to remove excess fat that is causing health problems. For example, someone may have a large amount of fat in their liver. Liposuction may be used to remove this fat, and then the liver may be removed and replaced with a prosthetic.  You can have a 100 pound person get liposuction and then have the liver removed, and have the liver replaced with a prosthetic. You can have a 100 pound person get liposuction and then have the liver removed and replaced with a prosthetic.",0,0.999,0,0.857,You can have a 100 pound person get liposuction and then have the liver removed,You can have a 100 pound person get liposuction and then have the liver removed and replaced with a prosthetic
80,"Is there a genetic upper limit for size? For example, can we selectively breed largeness in dogs to get them to the size of bear?","There is no upper limit for size. Dogs can grow to 100kg+ and cats to 100kg+. It's just a matter of how much energy you want to spend. For example, a dog needs to eat a lot more than a cat. So you can breed a dog that eats more food than a cat. But it's not the dog that will be larger. It's the cat that will be larger.  The reason for this is because a cat's body is designed to be smaller. It has to be because it's a predator. It has to be smaller than the dogs that it will be hunting. So it has evolved to be smaller. It's the same reason why humans evolved to be smaller than lions. It's not because humans are smaller than lions. It's because humans are smaller than lions.",0,0.988,0,0.941,It's not because humans are smaller than lions,It's because humans are smaller than lions
81,Why doesnt germany fulfill its NATO obligations of spending more on its military? and have a larger military in general?,"The German government is very concerned about the size of the US military. They're worried that if the US were to withdraw from NATO, Germany would be left to pick up the slack. So they've been spending more than they would have had to on their own military, and they're not done yet.  The problem is that the German government is still pretty conservative. They don't want to spend more on their military, because they think it's a waste of money. They're also concerned about the size of the US military. They don't want to be left to pick up the slack, and they don't want to be left to deal with a large US military. So they've been spending less than they would have had to, and they're not done yet.",0,1.0,0,1.0,and they're not done yet,and they're not done yet
82,Why someone would want ALL drugs to be legalized,Because it's not just about drugs.  It's about the people who are affected by them.,1,0.985,1,0.353,Because it's not just about drugs,It's about the people who are affected by them
83,How come not everybody sees the same colours when looking at Benhams Disk? [Repost],"The colours you see depend on the colour you're looking at. The colours you see depend on your eye colour, the colours you see depend on your skin colour, and the colours you see depend on the light you're looking at. If you're looking at a colour that is different from what you're used to, you'll see a different colour. This is why people with green eyes see blue and green. This is why people with blue eyes see green and blue. This is why people with red eyes see green and red. This is why people with yellow eyes see green and yellow. This is why people with green eyes see blue and green. This is why people with blue eyes see green and blue. This is why people with red eyes see green and red. This is why people with yellow eyes see green and yellow. This is why people with green eyes see blue and green. This is why people with blue eyes see green and blue. This is why people with red eyes see green and red. This is why people with yellow eyes see green and yellow. This is why people with green eyes see blue and green. This is why people with blue eyes see green and blue. This is why people with red eyes see green and red. This is why people with yellow eyes see green and yellow.",0,1.0,0,1.0,This is why people with green eyes see blue and green,This is why people with green eyes see blue and green
84,How do we measure distances in space?,"The most common method is the parallax method. The Earth is a big ball, and when you look at something in the sky that is very far away, the Earth will look to be moving in the sky. The distance between the Earth and the object is called the parallax, and when you measure it, you can calculate the distance between the Earth and the object. The problem is that the Earth is not a perfect sphere, and the distance between the Earth and the object can vary, so the parallax method only works for very far away objects. The most precise way to measure the distance is to use the Hubble constant. The Hubble constant is a number that tells you how fast the universe is expanding. If you know how fast the universe is expanding, you can calculate how far away a very far away object is.",0,0.71,0,0.727,you can calculate the distance between the Earth and the object,and the distance between the Earth and the object can vary
85,Do two objects ever actually touch on a molecular level?,"Yes, two objects can *touch* on a molecular level. The molecules can get close enough that they can interact with each other. The way this can happen is through a process called [van der Waals forces]. These forces are so weak that they are generally not noticed, but they are there. They are caused by the molecules in the two objects coming close enough to interact with each other.  These forces are responsible for things like [capillary action]. You can see the effect of these forces in everyday life. When you pour water into a glass, the water will take the shape of the glass. This is because the water molecules are interacting with the glass molecules.  To get a better sense of the strength of the van der Waals forces, look at the [Mie scattering] of light. This is an example of the van der Waals forces in action.<|eot_id|>",1,0.997,1,0.516,The molecules can get close enough that they can interact with each other,They are caused by the molecules in the two objects coming close enough to interact with each other
86,Why do bows have a longer range than crossbows (considering crossbows have more force)?,"Crossbows have a longer range because they can be mounted on a person's shoulder and fired at a more consistent rate. The bowstring has a lower mass, which means it can be used to generate a greater force. In addition, crossbows are mounted on a person's shoulder, which allows for a more consistent aim. A bow on a person's shoulder can be aimed with the bowstring tension. A crossbow is mounted on a wall or a tree, which means the crossbow string has to be pulled back before it can be fired. In addition, crossbows have a more consistent rate of fire. This is because the crossbow string is pulled back before firing, and then pulled back again to load the next shot. The bowstring is not pulled back before firing, which means it can be fired more quickly.",0,0.997,0,1.0,In addition,In addition
87,If it wasn't for air resistance would balloons rise with the same acceleration as gravity?,"I can answer this question for you, but I don't want to give you the wrong answer. If you had a balloon that was attached to the ground, and you had a fan blowing on it, it would rise. But if you had a balloon that was attached to the ground and you had a fan blowing on it, it would fall. The reason for this is that the air is not the same on the ground as it is above it. When the air is above the ground, it is moving in the same direction as the balloon, so the balloon rises. But when the air is below the ground, it is moving in the opposite direction to the balloon, so the balloon falls. So it is the difference in the direction of the air that makes the balloon fall, not the difference in the air's density.",0,1.0,0,0.8,it is moving in the same direction as the balloon,it is moving in the opposite direction to the balloon
88,How exactly does friction create heat?,"When you rub two things together, you're creating a transfer of heat. The two things are moving at different speeds, so they transfer heat. The speed of the moving things are so different that the heat is transferred at a high rate, so it's very quickly transferred to the surface of the objects. The heat transfer is so fast that it can be considered to be the same as ""friction"".  The heat is transferred to the surface because the objects are moving at different speeds. The speed of the moving things is so different that the heat is transferred to the surface. The heat transfer is so fast that it can be considered to be the same as ""friction"".  Friction is a very important part of the world we live in. It's what keeps us from falling off the ground, what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall. It's what keeps us from falling off the ground when we fall.",0,1.0,0,1.0,"The heat transfer is so fast that it can be considered to be the same as ""friction""","The heat transfer is so fast that it can be considered to be the same as ""friction"""
89,"What makes Scandinavian countries (Finland, Norway, Denmark, Sweden, Iceland) culturally and politically different that allows them to always rank in top 10 in every global ranking?","The difference between the Scandinavian countries is not that they are all the same, but that they are all very different. The most important difference is that they are all Nordic countries, which means that they are all very similar in terms of culture.  In addition, they are all very similar in terms of politics. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law. They all have the same political system, which is based on a parliamentary democracy. They all have the same legal system, which is based on a civil law system. They all have the same legal system, which is based on a system based on the common law.",0,1.0,0,1.0,They all have the same political system,They all have the same political system
90,"Why is manga/anime, essentially comic books and cartoons, so huge in Japan?","I'm not an expert, but I've been interested in manga for a while now. I think it's because manga is a very visual medium. It's a very fast-paced medium that has a very fast-paced story that is easy to follow. I think it's also because it's very easy to create. Manga is very easy to draw, and it's very easy to write. I think it's also because it's very easy to sell. It's a very cheap medium to create, and it's easy to sell. It's also very easy to sell, because it's a very easy medium to sell.",0,1.0,0,0.917,I think it's also because it's very easy to create,I think it's also because it's very easy to sell
91,Were all keyboards in this pre-QWERTY style (see image in comments)?,"Not really. The first typewriter was the [Sholes & Glidden Type-Writer], and the first typewritten text was the [New York Times], which was published in 1872. The first typewriter with a keyboard was the [Beechcroft Type Writer] (1922), and the first electronic typewriter was the [Parker TypeWriter] (1944). The first electronic typewriter with a keyboard was the [Royal QWERTY] (1950), and the first modern electronic typewriter with a keyboard was the [IBM 5100] (1966).<|eot_id|>",0,1.0,0,0.692,The first electronic typewriter with a keyboard was the [Royal QWERTY] (1950),and the first modern electronic typewriter with a keyboard was the [IBM 5100] (1966)
92,How does alcohol dry things out?,"Alcohol is a solvent, meaning it can dissolve (or dissolve) things. In the case of your skin, it can dissolve water and other substances that are dissolved in it. It is also capable of dissolving and removing organic substances. So, when you drink alcohol, it is capable of dissolving water in your skin. When the alcohol is absorbed into your skin, it is absorbed into the water that is dissolved in your skin. So, when the alcohol is absorbed into your skin, it is absorbed into the water in your skin. This means that the water in your skin is being removed from your skin. This causes the skin to dry out, because the water that was dissolved in your skin is being removed.",0,0.999,0,1.0,When the alcohol is absorbed into your skin,when the alcohol is absorbed into your skin
93,"For those 5yr olds who want to setup a .COM website, this is pure gold. Step-by-step process making it completely idiot proof","The simplest way to do it is to buy a domain name. You can do this with any registrar, but the most popular is GoDaddy. You can also buy a domain name with your own registrar, but it will cost you more. GoDaddy has a simple tool that will let you buy a domain name with just a few clicks. Here's how it works: 1. Go to GoDaddy. 2. Click on ""Register a Domain Name"". 3. Fill out the information that you want. 4. You can choose your domain name. 5. Click ""Register"". 6. You'll get a confirmation email. 7. You'll get a new email address from GoDaddy. 8. You can now set up your website. GoDaddy will send you an email to set up your website. It will be a ""click here"" type of thing. 9. You'll be able to set up your website. 10. GoDaddy will send you another email to set up your website. It will be a ""click here"" type of thing. 11. You'll be able to set up your website.",0,0.999,0,1.0,"It will be a ""click here"" type of thing","It will be a ""click here"" type of thing"
94,How are news agencies allowed to outright spread lies or misinformation to the public? Why is there no system of moderation to license news reporters similar to how engineers/doctors are licensed to design buildings or treat patients?,"If you're talking about the US news media, then there's a system in place. Every news agency has a license from the FCC, and they have to pay a fee for it. There's a system in place for reporting, which is based on a code of ethics. This code of ethics is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fired. But if a reporter breaks the code of ethics, and gets caught, they can be fined. The FCC also has a system in place for reporting, which is based on a rating system. This rating system is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fined. But if a reporter breaks the code of ethics, and gets caught, they can be fired. The FCC also has a system in place for reporting, which is based on a rating system. This rating system is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fined. But if a reporter breaks the code of ethics, and gets caught, they can be fired. The FCC also has a system in place for reporting, which is based on a rating system. This rating system is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fined. But if a reporter breaks the code of ethics, and gets caught, they can be fired. The FCC also has a system in place for reporting, which is based on a rating system. This rating system is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fined. But if a reporter breaks the code of ethics, and gets caught, they can be fired. The FCC also has a system in place for reporting, which is based on a rating system. This rating system is designed to help prevent reporters from getting in trouble. For example, if a reporter breaks the code of ethics, and gets caught, they can be fined. But if a reporter breaks the code of ethics, and gets caught, they can be fired.",0,1.0,0,1.0,For example,For example
95,The difference between a learning disability and an intellectual disability.,"A learning disability is a learning disorder, which is a neurological condition. It is a disorder that affects the way the brain processes information. A learning disability is a disorder that affects the brain's ability to process information. An intellectual disability is a disorder that affects the brain's ability to learn. It is a disorder that affects the brain's ability to learn. It is not the same as a learning disability.  I'm not sure what you mean by ""learning disability"". I think you mean a learning disorder. A learning disorder is a disorder that affects the brain's ability to process information. An intellectual disability is a disorder that affects the brain's ability to learn.  I'm not sure what you mean by ""intellectual disability"". I think you mean a learning disorder.",0,1.0,0,1.0,An intellectual disability is a disorder that affects the brain's ability to learn,An intellectual disability is a disorder that affects the brain's ability to learn
96,Why do I get headaches from 3D movies?,"The reason why you get headaches from 3D movies is because your eyes are moving around. When you are watching a 3D movie, your eyes are moving in a circle. The reason why you get headaches is because your brain is not able to process all the information at once. Your brain is constantly trying to process all the information in the 3D world. When your brain is constantly trying to process all the information in the 3D world, it gets tired. This tiredness is what causes headaches. The reason why 3D movies work is because they are not like a 2D movie. Your brain is not able to process all the information at once. It can only process 2D information at a time. So when you are watching a 3D movie, your brain is constantly trying to process all the information in the 3D world. It is constantly trying to process all the information. This causes the tiredness.",0,1.0,0,1.0,Your brain is constantly trying to process all the information in the 3D world,your brain is constantly trying to process all the information in the 3D world
97,Why do people have different skin colours?,"Humans are a lot like plants. We have a lot of different genes that determine our traits. When we're born, we have all of these genes and the ones that are active determine how our skin, hair, eyes, and other traits will be. So if you have a gene for dark skin, you will have darker skin. If you have a gene for light skin, you will have lighter skin. There are also genes that are active in other parts of our bodies, like the eyes. So if you have a gene for blue eyes, you will have blue eyes. If you have a gene for brown eyes, you will have brown eyes. So the skin, hair, eyes, and other traits are all determined by genes. When we're born, we have all of these genes active. So when we're growing up, the genes that are active determine what traits we'll have.",0,1.0,0,1.0,When we're born,When we're born
98,"How did girlscout cookies get to be so good, and why don't corporations with much more money make better cookies?","The Girl Scouts have a strict recipe that they stick to. They don't allow any variation, except for things like the color of the cookies. They also don't allow any additives, except for salt. They also make their own sugar, and their own flour. They also bake their own cookies in small batches, and they have a very low turnover rate. This allows them to keep their cookies fresh, and they also keep the cookies from getting stale. They also have a lot of control over what goes into the cookies. They can choose the flavor, and the color, and they can choose the amount of sugar, and the amount of butter. They can also choose the size of the cookies, and the shape. This allows them to make the cookies exactly what you want, and they don't have to rely on a third party to make the cookies. They are also very proud of their cookies, and they like to show them off.",0,0.909,0,0.769,They don't allow any variation,They also don't allow any additives
99,"On a lower gravity planet, would it be possible to jump high enough that you could injure yourself when you land? Or would it be impossible for the impact to be that severe?","You could land on a planet with a very low gravity and still be able to injure yourself. The problem is that the gravity would be so low, you wouldn't be able to jump very high. But the impact would still be very severe. If you are on a planet with a gravity of 1g, you could jump 3-4 times your height and still land with a high velocity, and be injured. But if the gravity is 1/10th that of earth, you could jump 10 times your height and still land with a low velocity, and not be injured. So, yes, you could injure yourself by jumping very high, but it would be very unlikely.",0,0.999,0,0.857,and be injured,and not be injured
